state,district,chamber,cycleYear,totalAgainst,rowCount
OH,,SENATE,2022,65946276.00,46
IN,,SENATE,2018,54830315.00,28
AZ,,SENATE,2018,48604494.00,42
MT,,SENATE,2018,33870819.00,38
WV,,SENATE,2018,27481632.00,26
NM,2,HOUSE,2020,22410920.00,31
VA,7,HOUSE,2022,18973573.00,31
CA,27,HOUSE,2020,18954957.00,11
NJ,,SENATE,2018,18935459.00,9
NY,4,HOUSE,2024,18125051.00,15
CO,8,HOUSE,2022,14490897.00,16
VA,7,HOUSE,2020,13754961.00,22
CA,25,HOUSE,2018,13075463.00,27
PA,8,HOUSE,2022,12437424.00,11
CA,47,HOUSE,2018,12226468.00,15
NY,19,HOUSE,2018,11854003.00,22
CA,48,HOUSE,2018,11637026.00,31
MN,1,HOUSE,2018,11014702.00,12
AL,,SENATE,2018,10993466.00,34
MN,1,HOUSE,2020,10524400.00,12
NY,24,HOUSE,2020,10430321.00,10
OH,1,HOUSE,2020,10348813.00,9
NY,22,HOUSE,2020,10321381.00,4
CA,45,HOUSE,2020,10290636.00,10
NY,22,HOUSE,2022,10277405.00,8
VA,10,HOUSE,2018,10266686.00,21
AK,,HOUSE,2024,10012453.00,9
OR,5,HOUSE,2022,9956898.00,10
FL,26,HOUSE,2018,9217713.00,14
CA,47,HOUSE,2022,9209014.00,4
FL,26,HOUSE,2020,8697651.00,5
PA,17,HOUSE,2018,8532147.00,19
NY,1,HOUSE,2020,8430702.00,10
VA,5,HOUSE,2020,7797109.00,10
MN,3,HOUSE,2018,7678973.00,17
IA,2,HOUSE,2020,7561750.00,4
IA,3,HOUSE,2018,7546227.00,14
NC,13,HOUSE,2022,7214760.00,8
NJ,7,HOUSE,2018,7072523.00,6
VA,7,HOUSE,2018,6917904.00,26
MI,8,HOUSE,2022,6713341.00,10
NY,22,HOUSE,2018,6703315.00,5
NJ,3,HOUSE,2018,6604372.00,15
TX,23,HOUSE,2018,6579247.00,13
KS,2,HOUSE,2018,6415739.00,11
NM,2,HOUSE,2018,6317013.00,16
NC,9,HOUSE,2020,6203193.00,9
MT,,HOUSE,2018,6149858.00,15
CA,27,HOUSE,2022,6060204.00,12
OH,1,HOUSE,2018,5854635.00,13
CA,45,HOUSE,2018,5741627.00,24
IL,13,HOUSE,2020,5544099.00,3
IA,1,HOUSE,2020,5525601.00,8
NC,8,HOUSE,2020,5225479.00,12
NC,6,HOUSE,2022,5215791.00,7
IL,15,HOUSE,2018,5157785.00,7
CA,45,HOUSE,2022,5102096.00,12
OH,15,HOUSE,2018,4804394.00,8
VA,2,HOUSE,2020,4750121.00,9
TX,32,HOUSE,2018,4635041.00,4
CO,3,HOUSE,2020,4598435.00,7
VA,2,HOUSE,2018,4569144.00,17
