committee_id,name,committee_type,org_type,connected_org,total_receipts,contribs_to_others,ind_exp,proposedClass,reason,finalClass
C00401224,ACTBLUE,V,,BLUE TO THE FUTURE 2024,4318377981,4114934810,0,CONDUIT,"donor-conduit committee, not a real PAC",
C00694323,WINRED,V,,,2240123104,2085387672,0,CONDUIT,"donor-conduit committee, not a real PAC",
C00669259,FUTURE FORWARD USA PAC,V,,,559289966,0,503317964,DARK_MONEY,/FUTURE FORWARD/,
C00825851,MAKE AMERICA GREAT AGAIN INC.,O,,,410509931,1500000,376948787,DARK_MONEY,/MAKE AMERICA GREAT AGAIN/,
C00865444,WINSENATE,O,,,313145191,69008,311285589,DARK_MONEY,/WINSENATE/,
C00571703,SENATE LEADERSHIP FUND,O,,,475353507,166843057,293723598,DARK_MONEY,/SENATE LEADERSHIP FUND/,
C00484642,SMP,O,,WINSENATE,389968278,56602970,229911901,DARK_MONEY,/\bSMP\b/,
C00504530,CONGRESSIONAL LEADERSHIP FUND,W,,PROTECT THE HOUSE 2024,260591047,3122500,227323124,DARK_MONEY,/CONGRESSIONAL LEADERSHIP FUND/,
C00495028,HOUSE MAJORITY PAC,W,,MINNESOTA SECOND DISTRICT VICTORY COMMITTEE,260472609,6415366,195994624,DARK_MONEY,/HOUSE MAJORITY PAC/,
C00879510,AMERICA PAC,O,,NONE,263494649,0,173734997,DARK_MONEY,/AMERICA PAC/,
C00687103,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION)",V,,,181524520,0,151773456,DARK_MONEY,/\bAFP ACTION\b/,
C00637512,"AMERICA FIRST ACTION, INC.",O,,NONE,150128473,1750000,133820069,CORPORATE,/\bINC\b/,
C00495861,PRIORITIES USA ACTION,V,,,139463406,15000,121146347,DARK_MONEY,/PRIORITIES USA/,
C00878801,PRESERVE AMERICA PAC,O,,NONE,114790326,0,112321880,DARK_MONEY,/PRESERVE AMERICA PAC/,
C00756882,PRESERVE AMERICA PAC,O,,,105322042,0,102983484,DARK_MONEY,/PRESERVE AMERICA PAC/,
C00828061,"SFA, INC.",V,,,88885512,0,81820666,CORPORATE,/\bINC\b/,
C00487363,AMERICAN CROSSROADS,O,,,81809711,1300000,79476089,DARK_MONEY,/AMERICAN CROSSROADS/,
C00487470,CLUB FOR GROWTH ACTION,O,,TEAM BAUGH 2024,89417588,58106500,69864512,DARK_MONEY,/CLUB FOR GROWTH/,
C00867036,RIGHT FOR AMERICA,O,,NONE,72503980,500000,69583233,DARK_MONEY,/RIGHT FOR AMERICA/,
C00762591,SAVE AMERICA,Q,,,109290510,65255000,0,LEADERSHIP,inline: Save America — Donald Trump's personal leadership PAC ($65M),
C00693382,DEMOCRACY PAC,O,,DEMOCRACY PAC II,81378923,63436864,0,DARK_MONEY,/DEMOCRACY PAC/,
C00763193,GEORGIA HONOR,O,,,60815076,0,60567065,DARK_MONEY,inline: Georgia Honor — Warnock-aligned GA Dem super PAC,
C00492140,AMERICAN BRIDGE 21ST CENTURY,V,,,97655817,847500,59719707,DARK_MONEY,/AMERICAN BRIDGE/,
C00836221,DEFEND AMERICAN JOBS,O,,,60325000,0,57809174,CORPORATE,/DEFEND AMERICAN JOBS/,
C00532705,INDEPENDENCE USA PAC,O,,NONE,67713621,1349141,56530454,DARK_MONEY,inline: Independence USA PAC — Bloomberg-funded super PAC,
C00849489,KEYSTONE RENEWAL PAC,O,,NONE,61995153,0,54394982,DARK_MONEY,/KEYSTONE RENEWAL/,
C00844613,WIN IT BACK PAC,O,,,61982437,6950000,54062373,DARK_MONEY,/WIN IT BACK PAC/,
C00797670,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE POLITICAL ACTION COMMITTEE,Q,M,,57871196,53699475,0,FOREIGN_POLICY,/AMERICAN ISRAEL/,
C00725820,THE LINCOLN PROJECT,V,,NONE,87404908,300000,49186930,DARK_MONEY,inline: Lincoln Project — anti-Trump consultant-led billionaire-funded swing,
C00486845,LCV VICTORY FUND,O,,LEAGUE OF CONSERVATION VOTERS ACTION FUND,84323632,27332000,46685018,ACTIVIST,override: LCV Victory Fund — League of Conservation Voters (climate),
C00571588,RESTORATION PAC,O,,NONE,91002655,40347549,42999848,DARK_MONEY,/RESTORATION PAC/,
C00835959,FAIRSHAKE,O,,,260070709,0,40661821,CORPORATE,/FAIRSHAKE/,
C00701888,UNITE THE COUNTRY,O,,NONE,49972058,1658000,38923630,DARK_MONEY,inline: Unite the Country — Biden-aligned billionaire-funded swing PAC,
C00799031,UNITED DEMOCRACY PROJECT (UDP),O,,,87176557,3550000,37859810,FOREIGN_POLICY,/UNITED DEMOCRACY PROJECT/,
C00762377,PEACHTREE PAC,O,,,38000000,450000,37845512,DARK_MONEY,inline: Peachtree PAC — GA Dem dark-money super PAC,
C00834077,NEVER BACK DOWN INC.,O,,NONE,145723169,17600100,37764477,DARK_MONEY,/NEVER BACK DOWN/,
C00473918,WOMEN VOTE!,O,,EMILY'S LIST,46750933,2926382,36769794,ACTIVIST,override: Women Vote — women's representation advocacy (EMILY List arm),
C00804856,REPUBLICAN ACCOUNTABILITY PAC,O,,NONE,41790354,100000,36750840,DARK_MONEY,/REPUBLICAN ACCOUNTABILITY PAC/,
C00490847,WORKING FOR WORKING AMERICANS - FEDERAL,O,,CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS,32773043,35018333,0,LABOR,/CARPENTER/,
C00848440,PROTECT PROGRESS,O,,,38036003,35000,34535912,DARK_MONEY,/PROTECT PROGRESS/,
C00849729,LAST BEST PLACE PAC,O,,,41580000,685995,33816255,DARK_MONEY,/LAST BEST PLACE/,
C00609388,BLACK PAC,O,,,44044054,84500,31783484,ACTIVIST,inline: BLACK PAC — Black voter mobilization advocacy,
C00544544,NEW REPUBLICAN PAC,O,,NONE,34185976,0,30508261,DARK_MONEY,inline: New Republican PAC — Rick Scott / Tom Steyer-funded R super PAC,
