rank,committeeId,name,connectedOrg,committeeType,orgType,totalCountsAgainst,contribCount
1,C00778472,(unknown),,,,1398810.00,1
2,C00564799,POPULATION CONNECTION ACTION FUND PAC  PCAF PAC,POPULATION CONNECTION ACTION FUND,Q,,527550.00,137
3,C00425439,THOROUGHBRED PAC,NONE,Q,,509300.00,180
4,C00409110,GREEN MOUNTAIN PAC,,Q,,501000.00,69
5,C00585893,CONSERVATIVE PROMISES PAC,,Q,,500500.00,288
6,C00656314,AMERICANS FOR POLICE AND TROOPER SAFETY,,O,,497000.00,16
7,C00687582,GIDDY UP PAC,HICKENLOOPER,Q,,490500.00,78
8,C00722413,FIRED UP PAC,,O,,488069.00,1
9,C00307991,RIPPLE OF HOPE PAC,CICILLINE,Q,,487070.00,167
10,C00427435,MAVERICK PAC USA,NONE,W,,485700.00,191
11,C00492579,AMERICAN PRINCIPLES,NONE,Q,,484910.00,390
12,C90009994,NATIONAL WILDLIFE FEDERATION ACTION FUND,,I,,481547.00,4
13,C00638130,COWBOY PAC,,Q,,481500.00,142
14,C00325324,NATIONAL MILK PRODUCERS FEDERATION PAC (NMPF PAC),NATIONAL MILK PRODUCERS FEDERATION,Q,M,481000.00,224
15,C00543504,GROUNDWORK PROJECT PAC,NONE,W,,478900.00,196
16,C00349233,NEW MILLENNIUM PAC,,Q,,477529.00,77
17,C90016551,TEXAS ORGANIZING PROJECT PAC,,I,,475579.00,4
18,C00408435,SOCIETY OF INTERVENTIONAL RADIOLOGY POLITICAL ACTION COMMITTEE,,Q,M,469500.00,136
19,C90017708,DUTY AND HONOR,,I,,469369.00,1
20,C00345058,COMMON SENSE COMMON SOLUTIONS POLITICAL ACTION COMMITTEE,,Q,,468100.00,122
21,C00325357,PIONEER POLITICAL ACTION COMMITTEE,TIBERI,Q,,464100.00,87
22,C00717223,HEARTLAND USA PAC,,O,,458950.00,2
23,C00010793,THE LOOSE GROUP,,Q,,458500.00,144
24,C00150797,BLANK  ROME PAC,NONE,Q,,453250.00,268
25,C00494971,FLORIDA FREEDOM COMMITTEE,NONE,Q,,446787.00,20
26,C90011826,VOCES DE LA FRONTERA ACTION,,I,,445237.00,8
27,C00567396,CHANGE CAMPAIGN SUPER PAC,NONE,O,,443339.00,3
28,C00226472,ARPAC,NONE,Q,M,439031.00,112
29,C00489203,UNITED MINE WORKERS OF AMERICA POWER PAC,NONE,O,,439009.00,2
30,C90021510,JOSEPH RUSH,,I,,438574.00,1
31,C00484402,COUNTRY ROADS PAC,MANCHIN,Q,,437500.00,59
32,C00490235,"AMERICA'S FUTURE, TOGETHER",,Q,,436000.00,249
33,C00102368,THE DESERT CAUCUS,,Q,,435000.00,45
34,C00670265,7GEN LEADERS,NONE,O,,433792.00,3
35,C00424143,ALLIANCE FOR PHARMACY COMPOUNDING PAC (COMP PAC),,Q,M,431933.00,139
36,C00420695,JPAC,,Q,,429250.00,120
37,C00343574,MAINSTREAM PAC,LOFGREN,Q,,425307.00,99
38,C00080135,BLUE DIAMOND GROWERS POLITICAL ACTION COMMITTEE,BLUE DIAMOND GROWERS,Q,V,425000.00,88
39,C00807198,PROTECT AND DEFEND AMERICA,,O,,425000.00,1
40,C90019878,WAY TO WIN ACTION FUND,,I,,424992.00,4
41,C00691162,HOOSIER PAC,,Q,,424500.00,51
42,C00722025,SEAL PAC USA,,O,,423750.00,11
